,Product ID,Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Air temperature [C],Process temperature [C]
51,L47231,L,1383.0,54.9,,0,25.899999999999977,36.10000000000002
52,H29466,H,1497.0,43.8,147.0,0,25.80000000000001,36.0
53,L47233,L,1565.0,35.1,152.0,0,25.69999999999999,
54,L47234,L,1691.0,30.1,154.0,0,25.69999999999999,36.0
55,L47235,L,1512.0,40.7,156.0,0,25.80000000000001,36.10000000000002
56,L47236,L,1477.0,42.4,158.0,0,25.80000000000001,36.10000000000002
57,L47237,L,,40.3,,0,25.80000000000001,36.10000000000002
58,M14918,M,1661.0,29.5,162.0,0,25.80000000000001,36.0
59,L47239,L,1378.0,54.4,165.0,0,25.80000000000001,36.10000000000002
60,L47240,L,1393.0,52.6,167.0,0,25.80000000000001,36.10000000000002
61,M14921,M,1592.0,38.2,169.0,0,25.80000000000001,36.0
62,L47242,L,1829.0,22.9,172.0,0,25.80000000000001,36.0
63,M14923,M,1812.0,25.9,174.0,0,25.899999999999977,36.0
64,L47244,L,1523.0,38.6,177.0,0,26.0,36.10000000000002
65,L47245,L,1394.0,45.1,179.0,0,26.0,36.10000000000002
66,M14926,M,,28.7,181.0,0,25.899999999999977,35.89999999999998
67,H29481,H,1466.0,44.1,184.0,0,25.80000000000001,35.89999999999998
68,L47248,L,1527.0,32.4,189.0,0,25.80000000000001,35.89999999999998
69,L47249,L,1410.0,65.7,191.0,1,25.899999999999977,36.0
70,M14930,M,,22.6,193.0,0,25.899999999999977,36.0
71,L47251,L,1452.0,45.5,196.0,0,25.899999999999977,36.10000000000002
72,L47252,L,,44.4,198.0,0,25.899999999999977,36.10000000000002
73,L47253,L,1592.0,35.0,200.0,0,26.0,36.10000000000002
74,L47254,L,1601.0,32.3,202.0,0,25.899999999999977,36.0
75,L47255,L,1379.0,46.7,204.0,0,25.80000000000001,35.89999999999998
76,L47256,L,1461.0,47.9,206.0,0,25.80000000000001,
77,L47257,L,1455.0,41.3,,1,25.80000000000001,35.89999999999998
78,L47258,L,1398.0,51.5,0.0,0,25.80000000000001,35.89999999999998
79,L47259,L,1402.0,37.9,2.0,0,25.80000000000001,35.89999999999998
80,H29494,H,1445.0,49.9,4.0,0,25.80000000000001,35.80000000000001
81,L47261,L,1450.0,47.5,9.0,0,25.899999999999977,35.89999999999998
82,L47262,L,1453.0,40.8,11.0,0,25.899999999999977,35.89999999999998
83,L47263,L,1469.0,40.1,13.0,0,26.0,36.0
84,L47264,L,1422.0,47.6,15.0,0,25.899999999999977,
85,M14945,M,1804.0,26.8,17.0,0,26.0,36.0
86,H29500,H,1436.0,43.9,20.0,0,26.0,36.0
87,L47267,L,1544.0,31.8,25.0,0,26.0,
88,M14948,M,1419.0,45.2,27.0,0,26.0,36.0
89,M14949,M,1487.0,39.5,30.0,0,25.899999999999977,35.89999999999998
90,L47270,L,1753.0,25.8,33.0,0,25.899999999999977,35.89999999999998
91,L47271,L,1830.0,24.9,35.0,0,25.899999999999977,35.89999999999998
92,M14952,M,1727.0,27.1,37.0,0,25.899999999999977,35.89999999999998
93,L47273,L,1450.0,43.0,40.0,0,26.100000000000023,36.0
94,L47274,L,1622.0,31.9,42.0,0,26.0,
95,M14955,M,1351.0,52.2,44.0,0,26.0,36.0
96,M14956,M,1575.0,35.3,47.0,0,26.0,36.0
97,M14957,M,1750.0,29.9,50.0,0,25.899999999999977,
98,L47278,L,1529.0,32.7,53.0,0,25.899999999999977,35.80000000000001
99,L47279,L,1523.0,44.4,55.0,0,25.80000000000001,
100,L47280,L,1852.0,25.0,57.0,0,25.80000000000001,35.89999999999998
101,L47281,L,1991.0,20.7,59.0,0,25.80000000000001,35.80000000000001
102,L47282,L,1555.0,40.6,61.0,0,25.80000000000001,35.80000000000001
103,M14963,M,1441.0,40.5,,0,25.80000000000001,35.80000000000001
104,L47284,L,1450.0,43.4,66.0,0,25.80000000000001,35.69999999999999
105,L47285,L,1591.0,31.1,68.0,0,25.80000000000001,35.69999999999999
106,L47286,L,1445.0,48.5,70.0,0,25.80000000000001,35.69999999999999
107,M14967,M,1497.0,46.8,72.0,0,25.80000000000001,35.80000000000001
108,H29522,H,1621.0,32.7,75.0,0,25.899999999999977,35.80000000000001
109,L47289,L,1572.0,34.1,80.0,0,25.899999999999977,35.69999999999999
110,L47290,L,1872.0,22.5,82.0,0,25.80000000000001,35.60000000000002
111,H29525,H,1499.0,43.5,,0,25.69999999999999,35.60000000000002
112,M14972,M,1498.0,39.5,,0,25.80000000000001,35.69999999999999
113,M14973,M,1486.0,41.9,92.0,0,25.80000000000001,35.60000000000002
114,L47294,L,1680.0,29.4,95.0,0,25.80000000000001,35.60000000000002
115,L47295,L,1431.0,45.7,97.0,0,25.80000000000001,35.60000000000002
116,L47296,L,1564.0,34.1,99.0,0,25.899999999999977,35.69999999999999
117,L47297,L,1599.0,33.0,101.0,0,25.80000000000001,35.60000000000002
118,M14978,M,1707.0,28.1,103.0,0,25.80000000000001,35.60000000000002
119,L47299,L,1467.0,40.7,106.0,0,25.69999999999999,35.5
120,L47300,L,1433.0,44.7,108.0,0,25.899999999999977,35.69999999999999
121,L47301,L,1558.0,41.2,110.0,0,25.899999999999977,35.69999999999999
122,L47302,L,1310.0,50.7,112.0,0,26.0,35.80000000000001
123,L47303,L,1546.0,43.4,,0,25.899999999999977,35.69999999999999
124,L47304,L,1727.0,29.4,116.0,0,25.899999999999977,35.69999999999999
125,L47305,L,1560.0,32.2,118.0,0,25.899999999999977,35.60000000000002
126,L47306,L,1329.0,60.5,120.0,0,26.0,35.60000000000002
127,L47307,L,1413.0,46.5,122.0,0,25.899999999999977,35.60000000000002
128,L47308,L,1587.0,38.6,124.0,0,26.0,35.60000000000002
129,L47309,L,1559.0,34.3,126.0,0,25.899999999999977,35.5
130,L47310,L,1473.0,41.1,128.0,0,25.80000000000001,35.39999999999998
131,L47311,L,1737.0,27.7,130.0,0,25.80000000000001,35.39999999999998
132,M14992,M,1441.0,43.2,132.0,0,25.69999999999999,35.39999999999998
133,M14993,M,1430.0,49.6,135.0,0,25.69999999999999,35.39999999999998
134,L47314,L,1369.0,53.0,138.0,0,25.80000000000001,35.39999999999998
135,M14995,M,1711.0,28.5,140.0,0,25.80000000000001,35.5
136,H29550,H,1420.0,45.7,143.0,0,25.69999999999999,35.5
137,L47317,L,1297.0,55.3,148.0,0,25.69999999999999,35.60000000000002
138,H29552,H,1449.0,49.4,150.0,0,25.80000000000001,35.60000000000002
139,L47319,L,1268.0,55.8,155.0,0,25.80000000000001,35.60000000000002
140,L47320,L,1511.0,36.1,157.0,0,25.80000000000001,35.60000000000002
141,L47321,L,1544.0,35.2,159.0,0,25.69999999999999,35.5
142,M15002,M,1778.0,28.2,161.0,0,25.600000000000023,35.39999999999998
143,H29557,H,1407.0,50.5,164.0,0,25.600000000000023,35.39999999999998
144,M15004,M,1391.0,42.4,169.0,0,25.600000000000023,35.39999999999998
145,L47325,L,1513.0,33.6,172.0,0,25.5,35.39999999999998
146,H29560,H,1612.0,36.1,,0,25.5,
147,L47327,L,1515.0,40.1,,0,25.399999999999977,35.39999999999998
148,M15008,M,1379.0,48.0,,0,25.30000000000001,35.30000000000001
149,L47329,L,,39.9,184.0,0,25.399999999999977,35.30000000000001
150,L47330,L,1422.0,42.7,,0,25.399999999999977,35.30000000000001
151,M15011,M,1463.0,37.6,188.0,0,25.399999999999977,35.19999999999999
152,M15012,M,1584.0,41.0,191.0,0,25.399999999999977,35.19999999999999
153,L47333,L,1850.0,27.0,194.0,0,25.399999999999977,35.19999999999999
154,L47334,L,1528.0,36.2,196.0,0,25.399999999999977,35.19999999999999
155,H29569,H,1987.0,19.8,198.0,0,25.399999999999977,35.19999999999999
156,M15016,M,1495.0,46.0,,0,25.399999999999977,35.10000000000002
157,H29571,H,,43.5,206.0,0,25.399999999999977,35.19999999999999
158,M15018,M,1499.0,40.0,211.0,0,25.399999999999977,35.19999999999999
159,L47339,L,1471.0,47.0,214.0,0,25.399999999999977,35.19999999999999
160,L47340,L,1282.0,60.7,216.0,1,25.399999999999977,35.19999999999999
161,L47341,L,1412.0,52.3,218.0,1,25.30000000000001,35.10000000000002
162,L47342,L,1586.0,35.5,0.0,0,25.30000000000001,35.10000000000002
163,M15023,M,1468.0,43.8,2.0,0,25.399999999999977,35.19999999999999
164,M15024,M,1440.0,43.6,,0,25.5,35.30000000000001
165,L47345,L,1733.0,26.0,8.0,0,25.5,35.39999999999998
166,H29580,H,1612.0,32.6,10.0,0,25.399999999999977,35.19999999999999
167,H29581,H,1458.0,42.9,15.0,0,25.399999999999977,35.30000000000001
168,L47348,L,1433.0,62.3,,1,25.399999999999977,35.30000000000001
169,L47349,L,1318.0,59.1,,0,25.399999999999977,35.30000000000001
170,M15030,M,1610.0,35.0,24.0,0,25.399999999999977,35.19999999999999
171,L47351,L,1462.0,50.8,27.0,0,25.19999999999999,35.10000000000002
172,M15032,M,1924.0,20.8,29.0,0,25.100000000000023,35.0
173,M15033,M,1591.0,33.7,32.0,0,25.19999999999999,
174,L47354,L,1306.0,58.3,35.0,0,25.19999999999999,35.10000000000002
175,L47355,L,1382.0,43.5,37.0,0,25.19999999999999,35.10000000000002
176,L47356,L,1618.0,34.7,39.0,0,25.19999999999999,35.10000000000002
177,L47357,L,1988.0,21.4,41.0,0,25.19999999999999,35.19999999999999
178,L47358,L,1436.0,50.2,43.0,0,25.19999999999999,35.19999999999999
179,L47359,L,1304.0,49.8,45.0,0,25.19999999999999,35.30000000000001
180,L47360,L,1475.0,49.9,47.0,0,25.19999999999999,35.30000000000001
181,H29595,H,1824.0,24.2,49.0,0,25.19999999999999,35.30000000000001
182,M15042,M,1342.0,48.1,54.0,0,25.100000000000023,35.19999999999999
183,L47363,L,1485.0,40.7,57.0,0,25.100000000000023,35.19999999999999
184,L47364,L,1667.0,30.6,59.0,0,25.19999999999999,35.19999999999999
185,L47365,L,1446.0,38.2,61.0,0,25.19999999999999,35.19999999999999
186,L47366,L,1301.0,56.0,63.0,0,25.100000000000023,35.30000000000001
187,L47367,L,1379.0,43.1,65.0,0,25.19999999999999,35.39999999999998
188,L47368,L,1606.0,33.6,67.0,0,25.30000000000001,35.5
189,M15049,M,1539.0,43.4,69.0,0,25.30000000000001,35.39999999999998
190,,L,1477.0,49.9,72.0,0,25.19999999999999,35.39999999999998
191,L47371,L,1666.0,34.6,74.0,0,25.19999999999999,35.39999999999998
192,H29606,H,1398.0,51.8,76.0,0,25.19999999999999,35.39999999999998
193,H29607,H,1678.0,34.6,81.0,0,25.19999999999999,35.39999999999998
194,M15054,M,2678.0,10.7,86.0,1,25.19999999999999,35.5
195,L47375,L,1453.0,42.9,89.0,0,25.30000000000001,35.5
196,H29610,H,1432.0,49.5,91.0,0,25.30000000000001,35.60000000000002
197,M15057,M,1527.0,40.9,,0,25.399999999999977,35.60000000000002
198,L47378,L,1588.0,35.0,,0,25.399999999999977,35.69999999999999
199,L47379,L,1433.0,47.1,101.0,0,25.399999999999977,35.60000000000002
200,L47380,L,1609.0,35.0,103.0,0,25.399999999999977,35.60000000000002
201,L47381,L,1575.0,41.2,105.0,0,25.30000000000001,35.5
202,M15062,M,1636.0,35.7,107.0,0,25.399999999999977,35.5
203,L47383,L,1490.0,37.9,110.0,0,25.399999999999977,35.5
204,L47384,L,1741.0,32.8,112.0,0,25.399999999999977,35.5
205,M15065,M,1344.0,53.0,114.0,0,25.5,35.60000000000002
206,L47386,L,1609.0,35.3,117.0,0,25.5,35.69999999999999
207,M15067,M,1421.0,60.7,,1,25.399999999999977,35.69999999999999
208,L47388,L,1591.0,36.7,122.0,0,25.399999999999977,35.60000000000002
209,L47389,L,1477.0,44.0,124.0,0,25.399999999999977,35.60000000000002
210,L47390,L,1523.0,36.1,126.0,0,25.399999999999977,35.69999999999999
211,L47391,L,1575.0,33.9,128.0,0,25.5,35.69999999999999
212,H29626,H,1344.0,52.9,130.0,0,25.399999999999977,35.69999999999999
213,L47393,L,1386.0,44.9,135.0,0,25.399999999999977,35.69999999999999
214,M15074,M,1589.0,37.1,137.0,0,25.30000000000001,35.60000000000002
215,L47395,L,1548.0,40.3,,0,25.30000000000001,35.60000000000002
216,L47396,L,1499.0,38.3,142.0,0,25.30000000000001,35.60000000000002
217,L47397,L,1664.0,31.6,144.0,0,25.30000000000001,35.5
218,,L,1447.0,38.1,146.0,0,25.30000000000001,35.60000000000002
219,M15079,M,1434.0,46.2,148.0,0,25.30000000000001,35.5
220,L47400,L,1416.0,52.7,151.0,0,25.30000000000001,35.5
221,H29635,H,1827.0,24.3,153.0,0,25.399999999999977,35.5
222,L47402,L,1304.0,45.0,,0,25.399999999999977,35.60000000000002
223,L47403,L,1569.0,34.4,160.0,0,25.399999999999977,
224,L47404,L,1584.0,29.3,162.0,0,25.30000000000001,35.60000000000002
225,L47405,L,1362.0,53.8,164.0,0,25.30000000000001,35.5
226,L47406,L,1329.0,49.2,166.0,0,25.30000000000001,35.39999999999998
227,L47407,L,,36.1,168.0,0,25.30000000000001,
228,,M,1629.0,37.1,170.0,0,25.30000000000001,35.5
229,L47409,L,1538.0,32.2,173.0,0,25.30000000000001,35.5
230,L47410,L,1570.0,34.8,175.0,0,25.30000000000001,35.60000000000002
231,L47411,L,1408.0,43.1,,0,25.30000000000001,35.39999999999998
232,L47412,L,1424.0,47.6,179.0,0,25.19999999999999,35.39999999999998
233,L47413,L,1512.0,34.9,181.0,0,25.19999999999999,35.39999999999998
234,L47414,L,1478.0,42.9,,0,25.19999999999999,35.39999999999998
235,M15095,M,1680.0,33.7,185.0,0,25.100000000000023,35.30000000000001
236,L47416,L,1495.0,38.7,188.0,0,25.100000000000023,35.30000000000001
237,M15097,M,1552.0,36.6,190.0,0,25.0,35.10000000000002
238,L47418,L,1393.0,50.3,193.0,0,24.899999999999977,35.10000000000002
239,L47419,L,1611.0,30.6,195.0,0,25.0,35.19999999999999
240,M15100,M,1339.0,51.6,197.0,0,25.0,35.10000000000002
241,L47421,L,1777.0,24.3,200.0,0,25.0,35.10000000000002
242,L47422,L,1348.0,58.8,202.0,1,25.0,35.19999999999999
243,L47423,L,1442.0,44.1,204.0,0,25.0,35.19999999999999
244,M15104,M,1395.0,49.1,206.0,0,25.0,35.19999999999999
245,M15105,M,1627.0,31.4,209.0,0,24.899999999999977,35.10000000000002
246,L47426,L,1585.0,33.5,212.0,0,24.899999999999977,35.10000000000002
247,L47427,L,1469.0,45.5,214.0,0,25.0,35.19999999999999
248,L47428,L,1362.0,56.8,216.0,1,25.0,35.30000000000001
249,L47429,L,1405.0,56.2,,1,25.0,35.30000000000001
250,L47430,L,1662.0,32.7,0.0,0,25.0,35.30000000000001
251,M15111,M,1466.0,42.6,2.0,0,25.0,35.19999999999999
252,L47432,L,1620.0,35.8,,0,25.0,35.19999999999999
253,L47433,L,1357.0,48.2,7.0,0,25.0,35.19999999999999
254,L47434,L,1514.0,37.9,9.0,0,25.0,35.19999999999999
255,L47435,L,,40.4,11.0,0,25.0,35.19999999999999
256,L47436,L,1331.0,63.0,13.0,0,25.100000000000023,35.30000000000001
257,L47437,L,1615.0,29.5,15.0,0,25.0,35.0
258,L47438,L,1482.0,37.9,17.0,0,25.100000000000023,35.19999999999999
259,M15119,M,1420.0,63.9,19.0,1,25.100000000000023,35.19999999999999
260,M15120,M,1522.0,49.1,22.0,0,25.19999999999999,35.30000000000001
261,L47441,L,1654.0,32.1,25.0,0,25.100000000000023,35.19999999999999
262,M15122,M,1736.0,26.8,27.0,0,25.100000000000023,35.19999999999999
263,M15123,M,1587.0,32.3,30.0,0,25.0,35.10000000000002
264,L47444,L,1390.0,47.5,33.0,0,25.100000000000023,35.19999999999999
265,L47445,L,1454.0,37.1,,0,25.0,35.10000000000002
266,H29680,H,1440.0,43.7,37.0,0,25.0,35.10000000000002
267,L47447,L,1954.0,21.1,42.0,0,24.899999999999977,35.0
268,H29682,H,1800.0,24.8,44.0,0,24.899999999999977,
269,L47449,L,1524.0,37.0,,0,25.0,35.0
270,H29684,H,1520.0,39.6,51.0,0,25.0,35.0
271,M15131,M,1452.0,40.8,56.0,0,25.100000000000023,35.10000000000002
272,L47452,L,1484.0,40.4,59.0,0,25.100000000000023,35.10000000000002
273,L47453,L,1426.0,46.0,61.0,0,25.100000000000023,35.0
274,L47454,L,1652.0,28.5,63.0,0,25.100000000000023,35.0
275,L47455,L,1401.0,54.7,65.0,0,25.0,35.0
276,M15136,M,1750.0,26.6,67.0,0,25.0,34.89999999999998
277,H29691,H,1479.0,50.7,70.0,0,25.0,35.0
278,M15138,M,1620.0,29.4,,0,25.0,35.0
279,L47459,L,1819.0,23.4,78.0,0,25.0,35.10000000000002
280,M15140,M,1456.0,43.7,80.0,0,25.100000000000023,35.10000000000002
281,L47461,L,1626.0,36.5,,0,25.100000000000023,35.0
282,M15142,M,1390.0,49.8,85.0,0,25.100000000000023,35.10000000000002
283,L47463,L,1469.0,43.0,88.0,0,25.19999999999999,35.19999999999999
284,L47464,L,2051.0,19.2,90.0,0,25.19999999999999,
285,L47465,L,1568.0,36.0,,0,25.19999999999999,35.30000000000001
286,L47466,L,1589.0,33.2,94.0,0,25.19999999999999,35.30000000000001
287,L47467,L,1805.0,31.6,96.0,0,25.19999999999999,35.30000000000001
288,H29702,H,1385.0,42.2,98.0,0,25.19999999999999,35.39999999999998
289,L47469,L,1436.0,46.7,103.0,0,25.100000000000023,35.39999999999998
290,L47470,L,1438.0,45.6,105.0,0,25.100000000000023,35.39999999999998
291,L47471,L,1473.0,42.6,107.0,0,25.0,35.30000000000001
292,L47472,L,1335.0,40.2,109.0,0,25.100000000000023,35.39999999999998
293,H29707,H,1392.0,44.8,111.0,0,25.100000000000023,35.5
294,M15154,M,1372.0,51.1,116.0,0,25.100000000000023,35.5
295,M15155,M,1716.0,30.7,,0,25.100000000000023,35.60000000000002
296,L47476,L,1395.0,46.2,122.0,0,25.0,35.5
297,L47477,L,1713.0,25.3,124.0,0,25.0,35.5
298,H29712,H,2129.0,18.7,126.0,0,24.899999999999977,35.5
299,M15159,M,1567.0,35.6,131.0,0,24.80000000000001,35.30000000000001
300,L47480,L,1622.0,38.3,134.0,0,24.80000000000001,35.39999999999998
301,L47481,L,1740.0,27.1,136.0,0,24.69999999999999,35.39999999999998
302,H29716,H,1512.0,35.1,138.0,0,24.80000000000001,35.39999999999998
303,M15163,M,1479.0,43.5,143.0,0,24.80000000000001,35.39999999999998
304,L47484,L,1737.0,27.5,,0,24.80000000000001,35.39999999999998
305,L47485,L,2129.0,19.2,148.0,0,24.80000000000001,35.39999999999998
306,L47486,L,1374.0,47.1,150.0,0,24.80000000000001,35.39999999999998
307,M15167,M,1579.0,36.6,152.0,0,24.80000000000001,35.39999999999998
308,L47488,L,1305.0,47.2,155.0,0,24.899999999999977,35.5
309,M15169,M,1449.0,40.8,157.0,0,24.899999999999977,35.5
310,H29724,H,1526.0,41.8,,0,25.0,35.60000000000002
311,M15171,M,,44.1,165.0,0,25.0,35.60000000000002
312,L47492,L,1468.0,36.0,168.0,0,24.899999999999977,35.60000000000002
313,L47493,L,1313.0,50.8,170.0,0,25.0,35.60000000000002
314,M15174,M,1300.0,53.0,,0,24.899999999999977,35.5
315,L47495,L,1646.0,40.6,175.0,0,24.899999999999977,35.39999999999998
316,L47496,L,1714.0,33.2,177.0,0,24.80000000000001,35.39999999999998
317,L47497,L,1685.0,28.4,179.0,0,24.80000000000001,35.39999999999998
318,L47498,L,1512.0,39.9,,0,24.80000000000001,35.39999999999998
319,L47499,L,,32.1,,0,24.80000000000001,35.39999999999998
320,H29734,H,1550.0,38.2,185.0,0,24.80000000000001,35.39999999999998
321,L47501,L,1518.0,32.5,190.0,0,24.80000000000001,35.39999999999998
322,L47502,L,1448.0,40.0,192.0,0,24.80000000000001,35.5
323,L47503,L,1561.0,46.3,194.0,0,24.80000000000001,35.5
324,M15184,M,1488.0,41.9,196.0,0,24.80000000000001,35.5
325,L47505,L,1699.0,27.8,199.0,0,24.80000000000001,35.5
326,L47506,L,1501.0,41.4,201.0,0,24.69999999999999,35.5
327,L47507,L,1373.0,56.7,203.0,1,24.69999999999999,35.5
328,H29742,H,1703.0,31.4,205.0,0,24.600000000000023,35.39999999999998
329,H29743,H,1720.0,29.9,210.0,0,24.69999999999999,35.5
330,M15190,M,1398.0,41.9,215.0,0,24.600000000000023,35.39999999999998
331,M15191,M,1391.0,51.9,218.0,0,24.600000000000023,35.39999999999998
332,M15192,M,1538.0,40.2,0.0,0,24.600000000000023,35.30000000000001
333,L47513,L,1647.0,31.3,3.0,0,24.5,35.19999999999999
334,M15194,M,1469.0,44.8,5.0,0,24.5,35.10000000000002
335,L47515,L,1749.0,25.9,8.0,0,24.399999999999977,35.10000000000002
336,M15196,M,1995.0,20.5,10.0,0,24.600000000000023,35.19999999999999
337,L47517,L,1742.0,27.7,13.0,0,24.600000000000023,
338,L47518,L,1563.0,38.2,15.0,0,24.5,35.19999999999999
339,M15199,M,1713.0,32.2,17.0,0,24.5,35.19999999999999
340,L47520,L,1474.0,39.4,20.0,0,24.399999999999977,35.10000000000002
341,M15201,M,1530.0,32.6,,0,24.399999999999977,35.19999999999999
342,L47522,L,1471.0,46.5,25.0,0,24.399999999999977,35.19999999999999
343,L47523,L,1388.0,48.6,27.0,0,24.5,35.30000000000001
344,M15204,M,2448.0,13.8,29.0,0,24.5,35.19999999999999
345,L47525,L,1585.0,32.9,32.0,0,24.5,35.30000000000001
346,M15206,M,1459.0,45.2,34.0,0,24.5,35.30000000000001
347,L47527,L,1544.0,40.8,37.0,0,24.5,35.30000000000001
348,L47528,L,1617.0,31.7,39.0,0,24.600000000000023,35.30000000000001
349,L47529,L,1595.0,34.3,41.0,0,24.600000000000023,35.30000000000001
350,H29764,H,1400.0,44.3,43.0,0,24.600000000000023,35.30000000000001
351,M15211,M,1611.0,31.0,48.0,0,24.600000000000023,35.39999999999998
352,M15212,M,1507.0,46.0,51.0,0,24.600000000000023,35.39999999999998
353,H29767,H,1674.0,30.0,54.0,0,24.5,35.30000000000001
354,L47534,L,1658.0,34.3,59.0,0,24.600000000000023,35.30000000000001
355,L47535,L,1623.0,36.9,61.0,0,24.600000000000023,35.30000000000001
356,M15216,M,1398.0,48.9,63.0,0,24.600000000000023,35.39999999999998
357,L47537,L,1517.0,34.2,66.0,0,24.600000000000023,35.39999999999998
358,M15218,M,1467.0,36.7,68.0,0,24.600000000000023,35.30000000000001
359,M15219,M,1567.0,34.6,71.0,0,24.600000000000023,
360,M15220,M,1521.0,38.2,,0,24.5,35.30000000000001
361,L47541,L,1596.0,36.8,77.0,0,24.5,35.30000000000001
362,H29776,H,1640.0,30.9,79.0,0,24.600000000000023,35.30000000000001
363,L47543,L,1438.0,47.8,,0,24.600000000000023,35.30000000000001
364,L47544,L,1407.0,55.2,86.0,0,24.600000000000023,35.39999999999998
365,L47545,L,1353.0,57.5,88.0,0,24.600000000000023,35.39999999999998
366,M15226,M,1552.0,40.9,90.0,0,24.600000000000023,35.5
367,M15227,M,1569.0,38.3,93.0,0,24.600000000000023,35.39999999999998
368,L47548,L,1489.0,39.5,,0,24.5,35.39999999999998
369,H29783,H,1587.0,36.1,98.0,0,24.5,35.39999999999998
370,M15230,M,1622.0,37.2,103.0,0,24.5,35.30000000000001
371,L47551,L,1604.0,38.1,106.0,0,24.5,35.39999999999998
372,M15232,M,1405.0,51.7,108.0,0,24.399999999999977,35.30000000000001
373,L47553,L,1412.0,42.0,111.0,0,24.399999999999977,
374,L47554,L,1431.0,43.0,113.0,0,24.399999999999977,35.30000000000001
375,L47555,L,,37.4,115.0,0,24.399999999999977,35.19999999999999
376,M15236,M,,51.9,117.0,0,24.399999999999977,35.19999999999999
377,M15237,M,1424.0,53.9,120.0,0,24.399999999999977,35.19999999999999
378,L47558,L,1754.0,29.4,123.0,0,24.30000000000001,
